2022-11-14 00:20:42.886 | SUCCESS  | __main__:create_bq_tables_if_needed:535 - c_1 | Все таблицы созданы в BQ
2022-11-14 00:20:42.887 | INFO     | __main__:main_load:40 - c_1 | Обработка началась
2022-11-14 00:20:44.211 | INFO     | __main__:clients_first_load:952 - c_1 | Сценарий | Первичная выгрузка: False
2022-11-14 00:20:44.213 | INFO     | __main__:check_if_tables_must_be_updated:724 - c_1 | Сценарий | Необходима выгрузка реализации из WB: False
2022-11-14 00:20:44.213 | INFO     | __main__:check_if_tables_must_be_updated:731 - c_1 | Сценарий | Необходима выгрузка склада из WB: True
2022-11-14 00:20:44.214 | INFO     | __main__:get_actual_part_start_date:968 - c_1 | Начинаем выгрузку с даты: 2022-10-01 00:00:00
2022-11-14 00:20:48.264 | INFO     | __main__:load_report_from_bq:428 - c_1 | Получение таблицы report из BQ | Выполнено запросов: 1 из 1
2022-11-14 00:20:48.299 | SUCCESS  | __main__:load_report_from_bq:430 - c_1 | Таблица report получена из BQ
2022-11-14 00:20:48.300 | INFO     | __main__:load_from_wb:455 - c_1 | Началась загрузка таблицы stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:20:49.252 | SUCCESS  | __main__:load_from_wb:481 - c_1 | Загружена таблица stocks из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:20:49.256 | INFO     | __main__:delete_actual_part_from_bq:514 - c_1 | Началось удаление строк из таблицы stocks | Выполнено запросов: 0 из 1
2022-11-14 00:20:51.883 | INFO     | __main__:delete_actual_part_from_bq:522 - c_1 | Удаление строк из таблицы stocks | Выполнено запросов: 1 из 1
2022-11-14 00:20:51.883 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_1 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_1_stocks по id, которые будут заменены новыми данными
2022-11-14 00:20:55.998 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_1 | Таблица stocks записана в BQ
2022-11-14 00:20:56.309 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:20:56.310 | INFO     | __main__:load_from_wb:455 - c_1 | Началась загрузка таблицы orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:20:57.203 | SUCCESS  | __main__:load_from_wb:481 - c_1 | Загружена таблица orders из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:21:00.212 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_1 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_1_orders начиная с 2022-10-01 00:00:00
2022-11-14 00:21:04.743 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_1 | Таблица orders записана в BQ
2022-11-14 00:21:04.957 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:21:04.957 | INFO     | __main__:load_from_wb:455 - c_1 | Началась загрузка таблицы sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:21:05.826 | SUCCESS  | __main__:load_from_wb:481 - c_1 | Загружена таблица sales из API WB начиная с 2022-10-01 00:00:00Z
2022-11-14 00:21:08.522 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_1 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_1_sales начиная с 2022-10-01 00:00:00
2022-11-14 00:21:14.103 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_1 | Таблица sales записана в BQ
2022-11-14 00:21:14.297 | SUCCESS  | __main__:fix_result:125 - В таблицу клиентов записан результат выгрузки
2022-11-14 00:21:14.298 | INFO     | __main__:make_main_table:184 - c_1 | Началось формирование таблицы main
2022-11-14 00:21:14.315 | DEBUG    | __main__:make_main_table:198 - MAIN LENGTH BEGINNING: 142
2022-11-14 00:21:14.531 | DEBUG    | __main__:make_main_table:377 - MAIN LENGTH ENGING: 142
2022-11-14 00:21:14.532 | SUCCESS  | __main__:make_main_table:381 - c_1 | Таблица main сформирована
2022-11-14 00:21:14.533 | INFO     | __main__:delete_actual_part_from_bq:514 - c_1 | Началось удаление строк из таблицы main | Выполнено запросов: 0 из 1
2022-11-14 00:21:17.467 | INFO     | __main__:delete_actual_part_from_bq:522 - c_1 | Удаление строк из таблицы main | Выполнено запросов: 1 из 1
2022-11-14 00:21:17.467 | SUCCESS  | __main__:delete_actual_part_from_bq:524 - c_1 | Удалены записи из таблицы focus-invention-343210.METRIX_v4.c_1_main по id, которые будут заменены новыми данными
2022-11-14 00:21:20.587 | SUCCESS  | __main__:load_dataframe_to_bq:492 - c_1 | Таблица main записана в BQ
